Food,Hour,Calories,Carb (g),Sugar (g),Protein (g)
Spinach Salad w/ strawberries and cheese,12:38:00,286.0,14.0,8.5,7.6
Egg,12:38:00,72.0,0.4,0.2,6.3
Breakfast Trail Mix,11:02:00,280.0,30.0,22.0,4.0
Spinach Salad w/ blueberries egg and cheese,12:38:00,286.0,14.0,8.5,7.6
Salty Sweet Popcorn,11:56:00,110.0,14.0,6.0,2.0
Bourbon Chicken,12:15:00,212.0,10.0,9.4,22.0
Shrimp,12:15:00,86.0,1.1,0.0,17.0
Salad with Cranberries,12:30:00,80.0,21.0,17.0,0.0
Chicken Nuggets,12:30:00,147.0,7.2,0.0,7.5
Muffin,11:00:00,212.0,30.0,18.0,2.5
Grilled Chicken Wrap,11:45:00,277.0,23.0,1.7,16.0
Acai Smoothie,11:00:00,440.0,92.0,75.0,5.0
Salad,12:30:00,13.0,2.8,1.2,0.8
Hot Chocolate,13:00:00,151.0,32.0,25.0,2.5
Babel bell cheese,12:30:00,71.0,0.3,0.3,5.0
Babybel Cheese,11:00:00,71.0,0.3,0.3,5.0
Chicken Salad,12:30:00,254.0,3.3,2.4,19.0
Pita Bread,12:30:00,539.0,109.0,2.5,18.0
Mello Yello,10:09:00,180.0,48.0,48.0,0.0
(Jimmy Dean) Chicken Biscuit,10:11:00,280.0,32.0,3.0,13.0
Beef Jerky,12:09:00,164.0,4.4,3.6,13.0
(Gatorade) Fierce Grape,12:12:00,84.0,21.6,20.4,0.0
Banquet Chicken Pot Pie,14:02:00,700.0,66.0,4.0,24.0
(Powerade) Grape,13:46:00,130.0,35.0,34.0,0.0
Omelet (3 egg bacon 3 strip cheese 2 tsp),10:34:00,566.0,3.1,1.4,45.0
Chocolate Milk,10:36:00,241.0,36.0,34.0,11.0
Moutain Dew,12:12:00,80.0,22.0,22.0,0.0
Natrel Lactose Free 2 Percent,10:05:00,120.0,9.0,8.0,12.0
Corn Flakes,10:05:00,110.0,26.0,10.0,1.0
Gatorade,13:35:00,140.0,36.0,34.0,0.0
Vienna Sausage,14:32:00,300.0,3.4,0.0,14.0
Lance Toast Chee,14:32:00,100.0,24.0,4.0,3.0
Tootsie Roll,14:45:00,108.0,22.0,15.0,0.8
Chex Mix,13:30:00,242.0,44.0,4.2,4.4
