Food,Hour,Calories,Carb (g),Sugar (g),Protein (g)
Babel Cheese,15:30:00,71.0,0.3,0.3,5.0
Breakfast Trail Mix,15:35:00,280.0,30.0,22.0,4.0
Lemon Loaf,15:30:00,235.0,34.0,21.0,3.0
Boost,15:10:00,654.0,82.0,40.0,26.0
(Powerade) Grape,16:08:00,130.0,35.0,34.0,0.0
(Arby's) Classic Roast Beef FF,15:00:00,360.0,37.0,5.0,23.0
Mello Yello,15:00:00,180.0,48.0,48.0,0.0
Gatorade,15:59:00,79.3,19.6,16.0,0.0
"Cheeseburger (mayo , mustard, chili)",15:59:00,677.0,47.0,8.5,39.0
Tater Tots,15:59:00,161.0,23.0,0.2,1.8
Onion Rings,15:59:00,133.6,14.2,1.8,1.3
Sweet Tea,15:59:00,199.0,52.0,50.0,0.0
Gatorade,15:00:00,140.0,36.0,34.0,0.0
Tortilla Chips,16:03:00,268.0,38.0,0.4,4.0
Salsa,16:03:00,8.2,1.9,1.1,0.4
Turkey Wings,16:00:00,852.0,0.0,0.0,102.0
(Chipotle) Bowl,16:30:00,1008.0,117.0,5.6,49.0
Baked Chicken,15:30:00,187.0,0.0,0.0,20.0
Green Bean,15:30:00,44.0,9.9,4.5,2.4
Tea with Lemon,15:30:00,2.2,0.7,0.0,0.0
Peppermint,15:45:00,24.0,5.9,3.8,0.0
Dark Chocolate Toffee,15:30:00,77.0,8.7,8.0,0.6
Apple,16:20:00,95.0,25.0,19.0,0.5
Peanut Butter,16:00:00,167.0,6.8,1.8,6.2
4 small pizza slices everything,15:30:00,626.0,70.0,7.2,26.0
4 small pizza slices everything,16:00:00,626.0,70.0,7.2,26.0
Fun size snickers bar,15:00:00,74.0,9.2,7.6,1.1
"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",16:35,124.0,15.0,1.3,6.3
Chicken breaded with (Progesso) Italian Bread Crumbs,16:15,323.0,24.0,1.5,35.0
Potato,16:15,93.0,21.0,1.2,2.5
Extra Virgin Olive Oil,16:15,119.0,0.0,0.0,0.0
(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,16:15,0.0,0.0,0.0,0.0
"Homemade Beef and Barley Soup with onion, celery, kale, (Simple Truth) fat free organic beef stock, and (Pacific) low sodium organic vegetable broth",16:10,324.0,49.5,7.6,18.0
Hershey's Milk Chocolate Bar,16:00,220.0,26.0,24.0,3.0
Baked Potato,16:50:00,80.0,18.0,1.0,2.2
"Salad - Tomato, Cheese, Lettuce, Tortilla Strips",16:50:00,80.0,17.0,7.3,4.9
Air Fried Chicken Wings,16:50:00,324.0,11.0,0.0,20.0
Grapes,15:55:00,39.0,10.0,8.8,0.4
Handfull of Oats and Honey Granola,15:55:00,555.0,61.0,22.0,16.0
Green Seedless Grape,15:50:00,34.0,8.9,7.6,0.4
Coffee,16:15:00,2.4,0.0,0.0,0.3
Cream,16:15:00,57.0,0.8,1.1,0.9
(Equal) Sweetner Bag,16:15:00,0.0,0.3,0.3,0.0
Coffee,15:15:00,4.8,0.0,0.0,0.6
Walnut,15:15:00,159.0,3.3,0.6,3.7
Strawberry,15:15:00,46.0,11.0,7.0,1.0
Blueberry,15:15:00,9.3,2.4,1.6,0.1
(Blue Diamond) almonds lightly salted,16:00:00,121.4,3.6,0.7,4.3
Small Apple,15:30:00,77.0,21.0,15.0,0.4
2% Cottage Cheese,15:30:00,106.5,3.7,2.9,12.0
2% Cottage Cheese,16:00:00,106.5,3.7,2.9,12.0
Small Apple,16:00:00,77.0,21.0,15.0,0.4
2% Cottage Cheese,15:07:00,106.5,3.7,2.9,12.0
Clementine,15:07:00,70.0,18.0,14.0,1.3
Small Apple,15:11:00,77.0,21.0,15.0,0.4
2% Cottage Cheese,15:11:00,106.5,3.7,2.9,12.0
Small Apple,15:52:00,77.0,21.0,15.0,0.4
2% Cottage Cheese,15:52:00,106.5,3.7,2.9,12.0
Small Apple,16:20:00,77.0,21.0,15.0,0.4
2% Cottage Cheese,16:20:00,106.5,3.7,2.9,12.0
Coffee,15:36:00,2.4,0.0,0.0,0.3
Mountain Dew,15:00:00,55.0,14.5,14.5,0.0
Oreo Cookie,16:30:00,200.0,32.0,18.0,2.0
Mountain Dew,16:30:00,110.0,31.0,31.0,0.0
Cheese and Crackers,15:00:00,447.5,25.0,5.5,19.5
Coke,15:00:00,258.0,64.0,61.0,0.0
Moon Cheddar Cheese,16:32:00,151.0,1.2,0.2,8.5
"Sargento Cranberries Snack Pack Cheese, Cashews",16:50:00,87.0,13.0,0.3,1.8
Coffee,16:45:00,2.4,0.0,0.0,0.3
Stevia,16:45:00,0.0,3.3,0.0,0.0
MCT Oil,16:45:00,121.0,0.0,0.0,0.0
Fried Cheddar Cheese Bite,15:32:00,22.0,0.0,0.0,0.0
Peanut Butter Wafers,15:55:00,450.0,48.0,30.0,6.0
Diet Coke,16:35:00,0.0,0.4,0.0,0.0
Biscuit Chicken Strips,16:09:00,448.0,28.4,0.4,28.0
Angle Food Candy ,16:45:00,292.0,58.0,55.7,1.5
Ice Cream Sandwich,16:30,284.0,45.0,22.0,5.1
turkey leg,15:30,335.0,0.0,0.0,48.0
potato chip,15:30,53.0,5.4,0.0,0.6
come pear,15:40,101.0,27.0,17.0,0.6
cashew nut,15:35,54.0,3.1,0.5,1.4
Decaf Latte,15:53,189.0,19.0,19.0,12.0
Lactose Free Milk,15:53,409.0,11.0,0.0,7.4
low fat cottage cheese,16:16,40.5,1.6,1.6,7.0
greek yogurt,16:21,532.0,32.0,29.0,92.0
Pepsi (Real Sugar),16:00:00,150.0,41.0,41.0,0.0
Simply Naked Pita Chips,16:00:00,130.0,19.0,0.5,3.0
